level,seed,wifiStandard,trafficType,nStations,distance,simulationTime,packetSize,interval,maxPackets,propagationModel,dataRate,payloadSize,offeredLoadMbps,flowId,source,destination,txPackets,rxPackets,lostPackets,pdr,throughputMbps,meanDelay,source_file,flow,2,80211g,tcp,30,50.0,10.0,1024,0.5,20,friis,2Mbps,1024.1,60.0,1,10.1.1.1,10.1.1.31,2270,2270.1,0,1.0,1.35083,0.004406,dataRateMbps
flow,1.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,5.0,10.1.1.4,10.1.1.6,1950.0,1950.0,0.0,1.0,1.099685,7.8e-05,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_20m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,7.0,10.1.1.5,10.1.1.6,1950.0,1950.0,0.0,1.0,1.099644,0.000434,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_20m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,1.0,10.1.1.1,10.1.1.6,1952.0,1952.0,0.0,1.0,1.100559,9.2e-05,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_20m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,2.0,10.1.1.2,10.1.1.6,1952.0,1952.0,0.0,1.0,1.100368,0.00034,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_20m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,4.0,10.1.1.3,10.1.1.6,1952.0,1952.0,0.0,1.0,1.100222,0.000423,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_20m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,5.0,10.1.1.4,10.1.1.6,1950.0,1950.0,0.0,1.0,1.09941,0.000421,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_20m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,7.0,10.1.1.5,10.1.1.6,1950.0,1950.0,0.0,1.0,1.100282,0.000699,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_20m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,logdistance,1Mbps,1024.0,5.0,1.0,10.1.1.1,10.1.1.6,1952.0,1952.0,0.0,1.0,1.099999,7.3e-05,project/results_tcp/raw/80211ax/logdistance/nodes_5/run_tcp_80211ax_logdistance_5nodes_20m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,logdistance,1Mbps,1024.0,5.0,2.0,10.1.1.2,10.1.1.6,1952.0,1952.0,0.0,1.0,1.100572,8.4e-05,project/results_tcp/raw/80211ax/logdistance/nodes_5/run_tcp_80211ax_logdistance_5nodes_20m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,logdistance,1Mbps,1024.0,5.0,3.0,10.1.1.3,10.1.1.6,1952.0,1952.0,0.0,1.0,1.100361,0.000133,project/results_tcp/raw/80211ax/logdistance/nodes_5/run_tcp_80211ax_logdistance_5nodes_20m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
