level,seed,wifiStandard,trafficType,nStations,distance,simulationTime,packetSize,interval,maxPackets,propagationModel,dataRate,payloadSize,offeredLoadMbps,flowId,source,destination,txPackets,rxPackets,lostPackets,pdr,throughputMbps,meanDelay,source_file,flow,2,80211g,tcp,30,50.0,10.0,1024,0.5,20,friis,2Mbps,1024.1,60.0,1,10.1.1.1,10.1.1.31,2270,2270.1,0,1.0,1.35083,0.004406,dataRateMbps
aggregate,3.0,80211ax,tcp,20.0,30.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,40.0,-1.0,ALL_STA,10.1.1.21,75105.0,74985.0,120.0,0.9984,29.577391,0.012898,project/results_tcp/raw/80211ax/friis/nodes_20/run_tcp_80211ax_friis_20nodes_30m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,1.0,80211ax,tcp,20.0,40.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,40.0,-1.0,ALL_STA,10.1.1.21,56311.0,56271.0,40.0,0.9993,22.149385,0.002768,project/results_tcp/raw/80211ax/friis/nodes_20/run_tcp_80211ax_friis_20nodes_40m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,2.0,80211ax,tcp,20.0,40.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,40.0,-1.0,ALL_STA,10.1.1.21,58429.0,58368.0,61.0,0.999,22.984733,0.00283,project/results_tcp/raw/80211ax/friis/nodes_20/run_tcp_80211ax_friis_20nodes_40m_seed2.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,3.0,80211ax,tcp,20.0,40.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,40.0,-1.0,ALL_STA,10.1.1.21,58442.0,58401.0,41.0,0.9993,22.994327,0.002794,project/results_tcp/raw/80211ax/friis/nodes_20/run_tcp_80211ax_friis_20nodes_40m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,1.0,80211ax,tcp,20.0,50.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,40.0,-1.0,ALL_STA,10.1.1.21,46094.0,46067.0,27.0,0.9994,18.125113,0.000426,project/results_tcp/raw/80211ax/friis/nodes_20/run_tcp_80211ax_friis_20nodes_50m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,2.0,80211ax,tcp,20.0,50.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,40.0,-1.0,ALL_STA,10.1.1.21,45347.0,45321.0,26.0,0.9994,17.831864,0.000613,project/results_tcp/raw/80211ax/friis/nodes_20/run_tcp_80211ax_friis_20nodes_50m_seed2.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,3.0,80211ax,tcp,20.0,50.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,40.0,-1.0,ALL_STA,10.1.1.21,46806.0,46781.0,25.0,0.9995,18.405999,0.000343,project/results_tcp/raw/80211ax/friis/nodes_20/run_tcp_80211ax_friis_20nodes_50m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,1.0,80211ax,tcp,20.0,5.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,40.0,-1.0,ALL_STA,10.1.1.21,112387.0,111424.0,963.0,0.9914,44.371896,0.032571,project/results_tcp/raw/80211ax/friis/nodes_20/run_tcp_80211ax_friis_20nodes_5m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,2.0,80211ax,tcp,20.0,5.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,40.0,-1.0,ALL_STA,10.1.1.21,113019.0,112554.0,465.0,0.9959,44.579995,0.032706,project/results_tcp/raw/80211ax/friis/nodes_20/run_tcp_80211ax_friis_20nodes_5m_seed2.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,3.0,80211ax,tcp,20.0,5.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,40.0,-1.0,ALL_STA,10.1.1.21,113765.0,112935.0,830.0,0.9927,44.920472,0.032554,project/results_tcp/raw/80211ax/friis/nodes_20/run_tcp_80211ax_friis_20nodes_5m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,1.0,80211ax,tcp,30.0,10.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1.0,ALL_STA,10.1.1.31,149299.0,141395.0,7904.0,0.9471,59.836987,0.161287,project/results_tcp/raw/80211ax/friis/nodes_30/run_tcp_80211ax_friis_30nodes_10m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,3.0,80211ax,tcp,30.0,10.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1.0,ALL_STA,10.1.1.31,143356.0,136387.0,6969.0,0.9514,57.542369,0.155715,project/results_tcp/raw/80211ax/friis/nodes_30/run_tcp_80211ax_friis_30nodes_10m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,1.0,80211ax,tcp,30.0,20.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1.0,ALL_STA,10.1.1.31,102080.0,101256.0,824.0,0.9919,40.290895,0.041782,project/results_tcp/raw/80211ax/friis/nodes_30/run_tcp_80211ax_friis_30nodes_20m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
