wifiStandard,trafficType,nStations,distance,propagationModel,dataRate,txPackets_mean,txPackets_std,txPackets_var,txPackets_count,rxPackets_mean,rxPackets_std,rxPackets_var,rxPackets_count,lostPackets_mean,lostPackets_std,lostPackets_var,lostPackets_count,pdr_mean,pdr_std,pdr_var,pdr_count,lossRate_mean,lossRate_std,lossRate_var,lossRate_count,throughputMbps_mean,throughputMbps_std,throughputMbps_var,throughputMbps_count,throughputPerNodeMbps_mean,throughputPerNodeMbps_std,throughputPerNodeMbps_var,throughputPerNodeMbps_count,meanDelay_mean,meanDelay_std,meanDelay_var,meanDelay_count,offeredLoadMbps_mean,offeredLoadMbps_std,offeredLoadMbps_var,offeredLoadMbps_count,efficiency_mean,efficiency_std,efficiency_var,efficiency_count,jainFairness_mean,jainFairness_std,jainFairness_var,jainFairness_count,txPackets_ci95,rxPackets_ci95,lostPackets_ci95,pdr_ci95,lossRate_ci95,throughputMbps_ci95,throughputPerNodeMbps_ci95,meanDelay_ci95,offeredLoadMbps_ci95,efficiency_ci95,jainFairness_ci95
80211ax,tcp,5.0,30.0,friis-nakagami,1Mbps,9661.333333333334,141.5391583037479,20033.33333333341,3,9659.333333333334,139.7760112942611,19537.33333333341,3,2.0,2.0,4.0,3,0.9997947594785318,0.00020517032740163002,4.2094863246092056e-08,3,0.00020524052146823438,0.0002051703274016439,4.209486324609775e-08,3,5.447859666666666,0.07937992701138817,0.006301172812333313,3,1.0895719333333334,0.01587598540227769,0.00025204691249333433,3,0.0007009999999999999,8.471292699464464e-05,7.176279999999994e-09,3,5.0,0.0,0.0,3,1.0895719333333334,0.01587598540227769,0.00025204691249333433,3,0.9991325897832569,0.0014962253694489993,2.2386903561827944e-06,3,351.6311389478729,347.2508854653144,4.96867641664592,0.0005097124835780006,0.0005097124835780351,0.19720658564827942,0.03944131712965602,0.0002104555612716692,0.0,0.03944131712965602,0.0037171298535842857
80211ax,tcp,5.0,30.0,logdistance,1Mbps,3909.3333333333335,1.1547005383792186,1.3333333333332575,3,3903.3333333333335,1.1547005383792186,1.3333333333332575,3,6.0,0.0,0.0,3,0.9984652113704723,4.534081332459896e-07,2.0557893529361303e-13,3,0.0015347886295277169,4.534081332139402e-07,2.0557893526455014e-13,3,2.2010330000000002,0.0007466451633807099,5.574789999998069e-07,3,0.4402066,0.00014932903267614734,2.229915999999388e-08,3,3.8133333333333336e-05,5.033222956847168e-07,2.5333333333333343e-13,3,5.0,0.0,0.0,3,0.4402066,0.00014932903267614734,2.229915999999388e-08,3,0.39999994891290847,3.81019933524082e-08,1.4517618974269586e-15,3,2.8686666666665848,2.8686666666665848,0.0,1.1264191493873997e-06,1.126419149307778e-06,0.0018549191074462364,0.0003709838214892606,1.2504228102703681e-06,0.0,0.0003709838214892606,9.46582378986551e-08
80211ax,tcp,5.0,40.0,friis,1Mbps,9752.666666666666,3.055050463303695,9.33333333333212,3,9752.666666666666,3.055050463303695,9.33333333333212,3,0.0,0.0,0.0,3,1.0,0.0,0.0,3,0.0,0.0,0.0,3,5.499915666666666,0.0010396876133409432,1.0809503333345867e-06,3,1.0999831333333334,0.00020793752266809806,4.3238013333345794e-08,3,0.000189,9.861521180832093e-05,9.724959999999998e-09,3,5.0,0.0,0.0,3,1.0999831333333334,0.00020793752266809806,4.3238013333345794e-08,3,0.9999997133801825,3.4494657954068623e-07,1.1898814273681896e-13,3,7.58977859434013,7.58977859434013,0.0,0.0,0.0,0.002582935662543013,0.0005165871325083775,0.0002449935386172732,0.0,0.0005165871325083775,8.569639673832417e-07
80211ax,tcp,5.0,40.0,friis-nakagami,1Mbps,9570.0,132.015150645674,17428.0,3,9567.333333333334,130.86379687802648,17125.333333333372,3,2.6666666666666665,1.1547005383792515,1.3333333333333333,3,0.9997224142764104,0.00011591966306548781,1.343736828521622e-08,3,0.00027758572358952777,0.0001159196630654958,1.3437368285218072e-08,3,5.395869666666667,0.07551896085972937,0.005703113449333336,3,1.0791739333333334,0.015103792171945867,0.00022812453797333324,3,0.0013873333333333333,0.00016669185143051635,2.778617333333334e-08,3,5.0,0.0,0.0,3,1.0791739333333334,0.015103792171945867,0.00022812453797333324,3,0.9982819155661612,0.001485567366395835,2.2069104001002574e-06,3,327.9702828265594,325.109930670296,2.8686666666666665,0.00028798364804951516,0.00028798364804953505,0.1876146399166718,0.037522927983334335,0.00041411893552492597,0.0,0.037522927983334335,0.0036906517693748864
80211ax,tcp,5.0,40.0,logdistance,1Mbps,3909.3333333333335,1.1547005383792186,1.3333333333332575,3,3903.3333333333335,1.1547005383792186,1.3333333333332575,3,6.0,0.0,0.0,3,0.9984652113704723,4.534081332459896e-07,2.0557893529361303e-13,3,0.0015347886295277169,4.534081332139402e-07,2.0557893526455014e-13,3,2.201026666666667,0.0007455335896744752,5.558203333329087e-07,3,0.44020533333333334,0.00014910671793491145,2.2232813333321244e-08,3,4.273333333333333e-05,6.42910050732862e-07,4.1333333333333113e-13,3,5.0,0.0,0.0,3,0.44020533333333334,0.00014910671793491145,2.2232813333321244e-08,3,0.3999999495177183,3.729570392978912e-08,1.3909695316184873e-15,3,2.8686666666665848,2.8686666666665848,0.0,1.1264191493873997e-06,1.126419149307778e-06,0.0018521575824164704,0.00037043151648333484,1.5972060035505015e-06,0.0,0.00037043151648333484,9.265514227907587e-08
80211ax,tcp,5.0,50.0,friis,1Mbps,9752.666666666666,3.055050463303695,9.33333333333212,3,9752.666666666666,3.055050463303695,9.33333333333212,3,0.0,0.0,0.0,3,1.0,0.0,0.0,3,0.0,0.0,0.0,3,5.499892666666667,0.0010630542475965326,1.13008433333303e-06,3,1.0999785333333334,0.00021261084951926663,4.5203373333304236e-08,3,0.00015839999999999997,5.590134166547348e-05,3.124960000000001e-09,3,5.0,0.0,0.0,3,1.0999785333333334,0.00021261084951926663,4.5203373333304236e-08,3,0.9999997045889154,3.598055561110948e-07,1.294600382084142e-13,3,7.58977859434013,7.58977859434013,0.0,0.0,0.0,0.0026409862848240815,0.0005281972569647173,0.000138877838996052,0.0,0.0005281972569647173,8.938786906136833e-07
80211ax,tcp,5.0,50.0,friis-nakagami,1Mbps,9488.666666666666,244.00273222513968,59537.33333333322,3,9488.0,244.0,59536.0,3,0.6666666666666666,1.1547005383792517,1.3333333333333335,3,0.9999297506146821,0.00012167550457106478,1.4804928412623206e-08,3,7.024938531789242e-05,0.00012167550457107279,1.4804928412625155e-08,3,5.3508216666666675,0.13862546514379398,0.01921701958633324,3,1.0701643333333333,0.027725093028758724,0.0007686807834533256,3,0.0025340666666666665,0.00018642803794851609,3.475541333333336e-08,3,5.0,0.0,0.0,3,1.0701643333333333,0.027725093028758724,0.0007686807834533256,3,0.9977141175794383,0.0021746137979178066,4.728945170094507e-06,3,606.1853106021103,606.1785228308022,2.868666666666667,0.0003022831050228712,0.0003022831050228911,0.34439253970327005,0.06887850794065384,0.0004631502977781812,0.0,0.06887850794065384,0.005402476146513511
80211ax,tcp,5.0,50.0,logdistance,1Mbps,3909.3333333333335,1.1547005383792186,1.3333333333332575,3,3903.3333333333335,1.1547005383792186,1.3333333333332575,3,6.0,0.0,0.0,3,0.9984652113704723,4.534081332459896e-07,2.0557893529361303e-13,3,0.0015347886295277169,4.534081332139402e-07,2.0557893526455014e-13,3,2.20102,0.0007449778520197209,5.549919999999172e-07,3,0.44020400000000004,0.00014899557040395388,2.2199679999999577e-08,3,5.026666666666667e-05,4.1633319989322973e-07,1.73333333333336e-13,3,5.0,0.0,0.0,3,0.44020400000000004,0.00014899557040395388,2.2199679999999577e-08,3,0.39999995016579115,3.64430947695082e-08,1.328099156379356e-15,3,2.8686666666665848,2.8686666666665848,0.0,1.1264191493873997e-06,1.126419149307778e-06,0.0018507769421269606,0.00037015538842541623,1.034312475888111e-06,0.0,0.00037015538842541623,9.053697276542383e-08
80211ax,tcp,10.0,5.0,friis,2Mbps,37670.666666666664,287.1538495882181,82457.33333333301,3,37670.333333333336,287.4236130406367,82612.33333333366,3,0.3333333333333333,0.5773502691896258,0.33333333333333337,3,0.9999911149020863,1.53894410168896e-05,2.3683489481232403e-10,3,8.885097913783705e-06,1.5389441016897614e-05,2.368348948125707e-10,3,21.253365000000002,0.1619768581341172,0.02623650257099993,3,2.1253365,0.016197685813411664,0.00026236502570999747,3,0.0007937333333333333,0.0001094791913257188,1.1985693333333344e-08,3,20.0,0.0,0.0,3,1.06266825,0.008098842906705832,6.559125642749937e-05,3,0.9957538078674117,0.0022292037875916272,4.969349526612857e-06,3,713.3872801990345,714.0574638510872,1.4343333333333335,3.823257632299138e-05,3.823257632301129e-05,0.40240529752669496,0.04024052975266936,0.0002719833380267828,0.0,0.02012026487633468,0.005538096143652139
80211ax,tcp,10.0,5.0,friis-nakagami,2Mbps,38756.666666666664,276.47845003423606,76440.33333333358,3,38744.0,274.38841083398546,75289.0,3,12.666666666666666,3.0550504633038935,9.333333333333336,3,0.9996734223016278,7.730921889094281e-05,5.976715325527709e-09,3,0.000326577698372225,7.730921889092757e-05,5.976715325525353e-09,3,21.863048000000003,0.15559219135612323,0.02420893001100047,3,2.1863048,0.015559219135612324,0.00024208930011000474,3,0.002590733333333333,0.00040433918105141993,1.6349017333333294e-07,3,20.0,0.0,0.0,3,1.0931524,0.007779609567806162,6.0522325027501184e-05,3,0.999527746233058,0.0008122680262832595,6.597793465221021e-07,3,686.865977197963,681.6736129558876,7.589778594340623,0.00019206224634637237,0.00019206224634633453,0.3865436259027143,0.038654362590271434,0.0010045152766080575,0.0,0.019327181295135717,0.00201794849309458
