wifiStandard,nStations,distance,propagationModel,dataRate,udp_throughputMbps_mean,udp_throughputPerNodeMbps_mean,udp_pdr_mean,udp_meanDelay_mean,udp_jainFairness_mean,udp_efficiency_mean,tcp_throughputMbps_mean,tcp_throughputPerNodeMbps_mean,tcp_pdr_mean,tcp_meanDelay_mean,tcp_jainFairness_mean,tcp_efficiency_mean,delta_tcp_minus_udp_throughputMbps_mean,ratio_tcp_over_udp_throughputMbps_mean,delta_tcp_minus_udp_throughputPerNodeMbps_mean,ratio_tcp_over_udp_throughputPerNodeMbps_mean,delta_tcp_minus_udp_pdr_mean,ratio_tcp_over_udp_pdr_mean,delta_tcp_minus_udp_meanDelay_mean,ratio_tcp_over_udp_meanDelay_mean,delta_tcp_minus_udp_jainFairness_mean,ratio_tcp_over_udp_jainFairness_mean,delta_tcp_minus_udp_efficiency_mean,ratio_tcp_over_udp_efficiency_mean
80211ax,5.0,30.0,friis-nakagami,1mbps,5.141405333333333,1.0282810666666666,0.9997333333333334,0.0018526666666666,0.9999999510982338,1.0282810666666666,5.447859666666666,1.0895719333333334,0.9997947594785318,0.0007009999999999,0.9991325897832568,1.0895719333333334,0.30645433333333294,1.0596051689110162,0.06129086666666672,1.0596051689110164,6.142614519843992e-05,1.000061442529873,-0.0011516666666667,0.3783735156530723,-0.0008673613149769999,0.9991326386426075,0.06129086666666672,1.0596051689110164
80211ax,5.0,30.0,logdistance,1mbps,2.0567666666666664,0.4113533333333333,0.4000000000000001,4.366666666666666e-05,0.3999999999957764,0.4113533333333333,2.201033,0.4402066,0.9984652113704724,3.8133333333333336e-05,0.3999999489129084,0.4402066,0.14426633333333339,1.0701422945399737,0.02885326666666671,1.070142294539974,0.5984652113704723,2.4961630284261807,-5.533333333333323e-06,0.8732824427480919,-5.108286799115902e-08,0.99999987229283,0.02885326666666671,1.070142294539974
80211ax,5.0,40.0,friis,1mbps,5.141924333333333,1.0283848666666666,1.0,0.0001013333333333,0.9999999999934948,1.0283848666666666,5.499915666666666,1.0999831333333334,1.0,0.000189,0.9999997133801825,1.0999831333333334,0.35799133333333355,1.0696220539482852,0.0715982666666668,1.0696220539482852,0.0,1.0,8.766666666670002e-05,1.865131578947982,-2.86613312305839e-07,0.9999997133866877,0.0715982666666668,1.0696220539482852
80211ax,5.0,40.0,friis-nakagami,1mbps,5.139052333333333,1.0278104666666663,0.9992,0.002414,0.9999985218025268,1.0278104666666663,5.395869666666667,1.0791739333333334,0.9997224142764104,0.0013873333333333,0.9982819155661612,1.0791739333333334,0.2568173333333341,1.0499736754318583,0.051363466666667135,1.0499736754318587,0.0005224142764104212,1.0005228325424445,-0.0010266666666667,0.5747031206848798,-0.0017166062363656032,0.9982833912261476,0.051363466666667135,1.0499736754318587
80211ax,5.0,40.0,logdistance,1mbps,2.056764,0.4113527999999999,0.4000000000000001,4.7e-05,0.3999999999928767,0.4113527999999999,2.201026666666667,0.4402053333333333,0.9984652113704724,4.273333333333333e-05,0.3999999495177183,0.4402053333333333,0.1442626666666671,1.070140602746191,0.028852533333333374,1.070140602746191,0.5984652113704723,2.4961630284261807,-4.266666666666664e-06,0.9092198581560285,-5.04751584418095e-08,0.9999998738121039,0.028852533333333374,1.070140602746191
80211ax,5.0,50.0,friis,1mbps,5.141919333333333,1.0283838666666665,1.0,0.0001043333333333,0.9999999999953606,1.0283838666666665,5.499892666666667,1.0999785333333334,1.0,0.0001583999999999,0.9999997045889154,1.0999785333333334,0.3579733333333337,1.0696186210103906,0.07159466666666692,1.0696186210103908,0.0,1.0,5.406666666660001e-05,1.518210862619335,-2.954064451943239e-07,0.9999997045935548,0.07159466666666692,1.0696186210103908
80211ax,5.0,50.0,friis-nakagami,1mbps,5.141544333333333,1.0283088666666669,0.9996666666666668,0.0029706666666666,0.9999999858859095,1.0283088666666669,5.350821666666668,1.0701643333333333,0.999929750614682,0.0025340666666666,0.9977141175794384,1.0701643333333333,0.2092773333333353,1.0407032050616702,0.0418554666666664,1.0407032050616696,0.00026308394801521917,1.000263171671906,-0.00043659999999999966,0.8530296229802482,-0.0022858683064711505,0.9977141316612659,0.0418554666666664,1.0407032050616696
80211ax,5.0,50.0,logdistance,1mbps,2.056758,0.4113516,0.4000000000000001,5.633333333333333e-05,0.3999999999796388,0.4113516,2.20102,0.440204,0.9984652113704724,5.026666666666667e-05,0.3999999501657911,0.440204,0.14426200000000033,1.070140483226515,0.0288524,1.0701404832265147,0.5984652113704723,2.4961630284261807,-6.0666666666666605e-06,0.8923076923076925,-4.981384771340913e-08,0.9999998754653807,0.0288524,1.0701404832265147
80211ax,10.0,5.0,friis,2mbps,20.549935666666663,2.0549935666666665,0.9996666666666668,0.000188,0.99999983851191,1.0274967833333333,21.253365,2.1253365,0.9999911149020864,0.0007937333333333,0.9957538078674116,1.06266825,0.7034293333333359,1.0342302450354792,0.07034293333333341,1.0342302450354792,0.0003244482354195499,1.0003245564208931,0.0006057333333333,4.22198581560266,-0.004246030644498355,0.9957539686698181,0.035171466666666706,1.0342302450354792
80211ax,10.0,5.0,friis-nakagami,2mbps,20.548835333333333,2.0548835333333333,0.9994333333333332,0.0012633333333333,0.999999866180595,1.0274417666666666,21.863048000000003,2.1863048,0.9996734223016278,0.0025907333333333,0.999527746233058,1.0931524,1.3142126666666698,1.0639555792505095,0.13142126666666654,1.0639555792505093,0.00024008896829463833,1.0002402250958489,0.0013274000000000003,2.050712401055437,-0.0004721199475370419,0.9995278799892842,0.06571063333333327,1.0639555792505093
80211ax,10.0,5.0,logdistance,2mbps,20.549059666666665,2.0549059666666665,0.9996333333333332,0.000251,0.9999998467399892,1.0274529833333332,21.704523333333334,2.170452333333333,0.9999133731105648,0.0015070333333333,0.9985981344477952,1.0852261666666667,1.1554636666666696,1.0562295153846377,0.11554636666666651,1.0562295153846375,0.0002800397772316776,1.000280142496147,0.0012560333333333001,6.0041168658697215,-0.0014017122921939906,0.9985982874929795,0.05777318333333348,1.0562295153846377
80211ax,10.0,10.0,friis,2mbps,20.550251666666668,2.055025166666667,0.9996666666666668,0.000191,0.9999999083645252,1.0275125833333334,21.703915,2.1703915,0.9998440316011404,0.0008052333333333,0.9985941107855806,1.08519575,1.1536633333333306,1.056138647450465,0.11536633333333324,1.056138647450465,0.00017736493447362278,1.0001774240758323,0.0006142333333333,4.215881326352356,-0.0014057975789446564,0.9985942022922344,0.05768316666666662,1.056138647450465
80211ax,10.0,10.0,friis-nakagami,2mbps,20.540835666666663,2.0540835666666664,0.999,0.0027033333333333,0.9999988732319895,1.0270417833333332,21.838324333333333,2.183832433333334,0.9997246024820048,0.0056810666666666,0.9994923497828476,1.091916216666667,1.2974886666666698,1.0631663038311636,0.12974886666666752,1.0631663038311638,0.000724602482004788,1.0007253278098147,0.0029777333333333,2.101504315659681,-0.0005065234491419268,0.9994934759801231,0.06487443333333376,1.0631663038311638
80211ax,10.0,10.0,logdistance,2mbps,12.334122333333331,1.2334122333333333,0.6002,0.000124,0.5999999999101048,0.6167061166666666,13.194325333333332,1.3194325333333332,0.9995584288880488,0.0001264333333333,0.5999997888313214,0.6597162666666666,0.8602030000000003,1.0697417276035341,0.08602029999999994,1.0697417276035341,0.39935842888804884,1.6653755896168758,2.43333333329999e-06,1.0196236559137095,-2.1107878334092334e-07,0.9999996482020277,0.04301014999999997,1.0697417276035341
80211ax,10.0,20.0,friis,2mbps,20.54877433333333,2.054877433333333,0.9995666666666668,0.000218,0.9999998143804422,1.0274387166666668,21.70207633333333,2.1702076333333333,0.999844661797642,0.0011788333333333,0.9975821956526087,1.0851038166666669,1.153302,1.056125099302354,0.11533020000000027,1.0561250993023543,0.0002779951309751505,1.0002781156477558,0.0009608333333333,5.407492354739908,-0.002417618727833415,0.9975823808234092,0.057665100000000136,1.0561250993023543
80211ax,10.0,20.0,friis-nakagami,2mbps,20.509611666666668,2.0509611666666667,0.9964,0.0101096666666666,0.9999866961497405,1.0254805833333334,20.909924333333333,2.0909924333333336,0.9965037541753706,0.0198020333333333,0.9935006912217852,1.0454962166666668,0.40031266666666454,1.0195182957714053,0.0400312666666669,1.0195182957714055,0.00010375417537067388,1.0001041290399144,0.009692366666666698,1.9587226746678192,-0.006486004927955258,0.9935139087820584,0.02001563333333345,1.0195182957714055
80211ax,10.0,20.0,logdistance,2mbps,6.167135333333333,0.6167135333333333,0.3001,3.5e-05,0.2999999999962296,0.3083567666666666,6.599387666666668,0.6599387666666666,0.9988051207633966,6.126666666666667e-05,0.299999916615068,0.3299693833333333,0.43225233333333435,1.070089646159865,0.04322523333333328,1.0700896461598648,0.6987051207633965,3.328240988881695,2.6266666666666677e-05,1.7504761904761907,-8.338116164186005e-08,0.9999997220627945,0.021612616666666695,1.070089646159865
80211ax,10.0,30.0,friis,2mbps,20.55011633333333,2.0550116333333333,0.9996666666666668,0.0002566666666666,0.9999998552361395,1.0275058166666666,21.79478966666667,2.1794789666666667,0.9998626348037531,0.0016451,0.9991474731860768,1.0897394833333334,1.2446733333333384,1.0605677025445552,0.12446733333333349,1.060567702544555,0.0001959681370863331,1.0001960334815803,0.0013884333333334,6.409480519482185,-0.0008523820500627721,0.999147617826543,0.06223366666666674,1.060567702544555
80211ax,10.0,30.0,friis-nakagami,2mbps,19.640795333333333,1.9640795333333336,0.9380666666666668,0.0366403333333333,0.9899557473758508,0.9820397666666668,17.685676333333337,1.7685676333333336,0.9913757516320104,0.0352035333333333,0.8853112824747447,0.8842838166666668,-1.9551189999999963,0.9004562204931758,-0.19551190000000007,0.9004562204931755,0.05330908496534359,1.056828674186636,-0.001436800000000002,0.9607863829477533,-0.10464446490110613,0.8942937952746929,-0.09775595000000004,0.9004562204931755
80211ax,10.0,30.0,logdistance,2mbps,4.111424666666667,0.4111424666666667,0.2001,2.2333333333333332e-05,0.1999999999985683,0.2055712333333333,4.400930333333334,0.4400930333333333,0.9979541380422564,2.576666666666667e-05,0.1999999654066033,0.2200465166666666,0.2895056666666669,1.0704149267318044,0.02895056666666662,1.0704149267318044,0.7978541380422564,4.98727705168544,3.4333333333333366e-06,1.1537313432835823,-3.459196498689643e-08,0.9999998270401751,0.01447528333333331,1.0704149267318044
80211ax,10.0,40.0,friis,2mbps,20.548607666666665,2.0548607666666663,0.9996,0.0002946666666666,0.9999997832183602,1.0274303833333331,21.70109233333333,2.170109233333333,0.999705700350336,0.0027278,0.9977275751553104,1.0850546166666666,1.1524846666666662,1.0560857789180622,0.11524846666666688,1.0560857789180624,0.00010570035033596881,1.000105742647395,0.0024331333333334,9.25723981900662,-0.002272208063049841,0.9977277914443771,0.05762423333333344,1.0560857789180624
80211ax,10.0,40.0,friis-nakagami,2mbps,16.607459000000002,1.6607459,0.7555333333333333,0.0868963333333333,0.8682992680903187,0.83037295,14.485395666666667,1.4485395666666667,0.9929521318964316,0.0387222666666666,0.7070334390447582,0.7242697833333334,-2.122063333333335,0.8722222747421303,-0.21220633333333327,0.8722222747421304,0.23741879856309833,1.3142400051571936,-0.048174066666666696,0.4456145061740229,-0.16126582904556042,0.8142739088099912,-0.10610316666666664,0.8722222747421304
80211ax,10.0,40.0,logdistance,2mbps,4.111421,0.4111421,0.2001,2.4333333333333333e-05,0.1999999999969474,0.20557105,4.400891333333333,0.4400891333333334,0.9979541380422564,2.79e-05,0.1999999660609042,0.2200445666666667,0.28947033333333305,1.070406395582776,0.028947033333333372,1.0704063955827763,0.7978541380422564,4.98727705168544,3.5666666666666675e-06,1.1465753424657534,-3.3936043197790866e-08,0.999999830319784,0.014473516666666686,1.0704063955827763
80211ax,10.0,50.0,friis,2mbps,16.44299666666667,1.6442996666666667,0.7999666666666667,0.0001936666666666,0.7999999414341659,0.8221498333333334,17.316363666666664,1.7316363666666663,0.9997179462838364,0.0006314666666666,0.7989489772728621,0.8658181833333333,0.8733669999999947,1.0531148316638954,0.0873366999999996,1.0531148316638956,0.19975127961716965,1.249699503667448,0.0004378,3.2605851979353737,-0.0010509641613037912,0.9986862947021975,0.04366834999999991,1.0531148316638956
