level,seed,wifiStandard,nStations,distance,simulationTime,packetSize,interval,maxPackets,propagationModel,dataRate,payloadSize,offeredLoadMbps,flowId,source,destination,txPackets,rxPackets,lostPackets,pdr,throughputMbps,meanDelay,source_file,dataRateMbps,jainFairness,throughputPerNodeMbps,lossRate,efficiency
aggregate,2,80211ax,20,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,40.0,-1,ALL_STA,10.1.1.21,39005,25344,13661,0.6498,26.702544,0.000241,project/results/raw/80211ax/friis/nodes_20/run_80211ax_friis_20nodes_30m_seed2.csv,2.0,0.6499996337896367,1.3351272,0.35019999999999996,0.6675636
aggregate,3,80211ax,20,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,40.0,-1,ALL_STA,10.1.1.21,39005,25343,13662,0.6497,26.70155,0.00024,project/results/raw/80211ax/friis/nodes_20/run_80211ax_friis_20nodes_30m_seed3.csv,2.0,0.6499997025681036,1.3350775000000001,0.35029999999999994,0.6675387500000001
aggregate,1,80211ax,20,40.0,10.0,1024,0.5,20,friis,2Mbps,1024,40.0,-1,ALL_STA,10.1.1.21,39005,19509,19496,0.5002,20.551463,0.000145,project/results/raw/80211ax/friis/nodes_20/run_80211ax_friis_20nodes_40m_seed1.csv,2.0,0.49999994278760684,1.0275731499999998,0.4998,0.5137865749999999
aggregate,2,80211ax,20,40.0,10.0,1024,0.5,20,friis,2Mbps,1024,40.0,-1,ALL_STA,10.1.1.21,39005,19507,19498,0.5001,20.548253,0.000145,project/results/raw/80211ax/friis/nodes_20/run_80211ax_friis_20nodes_40m_seed2.csv,2.0,0.4999998733884421,1.02741265,0.4999,0.513706325
aggregate,3,80211ax,20,40.0,10.0,1024,0.5,20,friis,2Mbps,1024,40.0,-1,ALL_STA,10.1.1.21,39005,19509,19496,0.5002,20.550374,0.000145,project/results/raw/80211ax/friis/nodes_20/run_80211ax_friis_20nodes_40m_seed3.csv,2.0,0.4999999149096964,1.0275187000000001,0.4998,0.5137593500000001
aggregate,1,80211ax,20,50.0,10.0,1024,0.5,20,friis,2Mbps,1024,40.0,-1,ALL_STA,10.1.1.21,39005,15612,23393,0.4003,16.443354,9.5e-05,project/results/raw/80211ax/friis/nodes_20/run_80211ax_friis_20nodes_50m_seed1.csv,2.0,0.3999999813522923,0.8221677,0.5997,0.41108385
aggregate,2,80211ax,20,50.0,10.0,1024,0.5,20,friis,2Mbps,1024,40.0,-1,ALL_STA,10.1.1.21,39005,15611,23394,0.4002,16.442263,9.5e-05,project/results/raw/80211ax/friis/nodes_20/run_80211ax_friis_20nodes_50m_seed2.csv,2.0,0.39999997717685737,0.8221131500000001,0.5998,0.41105657500000004
aggregate,3,80211ax,20,50.0,10.0,1024,0.5,20,friis,2Mbps,1024,40.0,-1,ALL_STA,10.1.1.21,39005,15613,23392,0.4003,16.444392,9.3e-05,project/results/raw/80211ax/friis/nodes_20/run_80211ax_friis_20nodes_50m_seed3.csv,2.0,0.3999999878136413,0.8222196,0.5997,0.4111098
aggregate,1,80211ax,20,5.0,10.0,1024,0.5,20,friis,2Mbps,1024,40.0,-1,ALL_STA,10.1.1.21,39005,38934,71,0.9982,41.03852,0.001048,project/results/raw/80211ax/friis/nodes_20/run_80211ax_friis_20nodes_5m_seed1.csv,2.0,0.9999975102413814,2.051926,0.0018000000000000238,1.025963
aggregate,2,80211ax,20,5.0,10.0,1024,0.5,20,friis,2Mbps,1024,40.0,-1,ALL_STA,10.1.1.21,39005,38922,83,0.9979,41.029085,0.001022,project/results/raw/80211ax/friis/nodes_20/run_80211ax_friis_20nodes_5m_seed2.csv,2.0,0.9999977373364349,2.05145425,0.0020999999999999908,1.025727125
aggregate,3,80211ax,20,5.0,10.0,1024,0.5,20,friis,2Mbps,1024,40.0,-1,ALL_STA,10.1.1.21,39005,38929,76,0.9981,41.034606,0.000992,project/results/raw/80211ax/friis/nodes_20/run_80211ax_friis_20nodes_5m_seed3.csv,2.0,0.9999974790780716,2.0517303,0.0019000000000000128,1.02586515
aggregate,1,80211ax,30,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,60.0,-1,ALL_STA,10.1.1.31,58472,52091,6381,0.8909,55.647196,0.112971,project/results/raw/80211ax/friis/nodes_30/run_80211ax_friis_30nodes_10m_seed1.csv,2.0,0.9896452065231681,1.8549065333333334,0.10909999999999997,0.9274532666666667
aggregate,2,80211ax,30,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,60.0,-1,ALL_STA,10.1.1.31,58472,52136,6336,0.8916,55.979339,0.118204,project/results/raw/80211ax/friis/nodes_30/run_80211ax_friis_30nodes_10m_seed2.csv,2.0,0.9920692256031539,1.8659779666666667,0.10840000000000005,0.9329889833333334
aggregate,3,80211ax,30,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,60.0,-1,ALL_STA,10.1.1.31,58472,52235,6237,0.8933,56.187909,0.108644,project/results/raw/80211ax/friis/nodes_30/run_80211ax_friis_30nodes_10m_seed3.csv,2.0,0.9900902430775378,1.8729303,0.10670000000000002,0.93646515
aggregate,1,80211ax,30,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,60.0,-1,ALL_STA,10.1.1.31,58472,36882,21590,0.6308,38.979448,0.010694,project/results/raw/80211ax/friis/nodes_30/run_80211ax_friis_30nodes_20m_seed1.csv,2.0,0.6333316783505978,1.2993149333333334,0.3692,0.6496574666666667
aggregate,2,80211ax,30,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,60.0,-1,ALL_STA,10.1.1.31,58472,36916,21556,0.6313,38.97444,0.011962,project/results/raw/80211ax/friis/nodes_30/run_80211ax_friis_30nodes_20m_seed2.csv,2.0,0.6333313033179134,1.299148,0.3687,0.649574
aggregate,3,80211ax,30,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,60.0,-1,ALL_STA,10.1.1.31,58472,36920,21552,0.6314,38.966024,0.011743,project/results/raw/80211ax/friis/nodes_30/run_80211ax_friis_30nodes_20m_seed3.csv,2.0,0.6333278903111675,1.2988674666666666,0.36860000000000004,0.6494337333333333
aggregate,1,80211ax,30,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,60.0,-1,ALL_STA,10.1.1.31,58472,25341,33131,0.4334,26.700444,0.000163,project/results/raw/80211ax/friis/nodes_30/run_80211ax_friis_30nodes_30m_seed1.csv,2.0,0.43333301019857023,0.8900148,0.5666,0.4450074
aggregate,2,80211ax,30,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,60.0,-1,ALL_STA,10.1.1.31,58472,25347,33125,0.4335,26.70465,0.000156,project/results/raw/80211ax/friis/nodes_30/run_80211ax_friis_30nodes_30m_seed2.csv,2.0,0.43333304365153325,0.890155,0.5665,0.4450775
aggregate,3,80211ax,30,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,60.0,-1,ALL_STA,10.1.1.31,58472,25348,33124,0.4335,26.706531,0.000158,project/results/raw/80211ax/friis/nodes_30/run_80211ax_friis_30nodes_30m_seed3.csv,2.0,0.43333310103023054,0.8902176999999999,0.5665,0.44510884999999994
