level,seed,wifiStandard,nStations,distance,simulationTime,packetSize,interval,maxPackets,propagationModel,dataRate,payloadSize,offeredLoadMbps,flowId,source,destination,txPackets,rxPackets,lostPackets,pdr,throughputMbps,meanDelay,source_file,dataRateMbps
flow,2,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,9,10.1.1.9,10.1.1.11,1951,1949,2,0.999,2.0536,0.000149,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed2.csv,2.0
flow,2,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,10,10.1.1.10,10.1.1.11,1950,1949,1,0.9995,2.054654,0.000146,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed2.csv,2.0
flow,3,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,1,10.1.1.1,10.1.1.11,1953,1952,1,0.9995,2.054661,0.000116,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed3.csv,2.0
flow,3,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,2,10.1.1.2,10.1.1.11,1952,1952,0,1.0,2.055667,0.00014,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed3.csv,2.0
flow,3,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,3,10.1.1.3,10.1.1.11,1952,1952,0,1.0,2.055686,0.000242,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed3.csv,2.0
flow,3,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,4,10.1.1.4,10.1.1.11,1952,1951,1,0.9995,2.054616,0.000249,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed3.csv,2.0
flow,3,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,5,10.1.1.5,10.1.1.11,1952,1952,0,1.0,2.055626,0.000433,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed3.csv,2.0
flow,3,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,6,10.1.1.6,10.1.1.11,1951,1948,3,0.9985,2.052401,0.000492,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed3.csv,2.0
flow,3,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,7,10.1.1.7,10.1.1.11,1951,1949,2,0.999,2.053608,0.000117,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed3.csv,2.0
flow,3,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,8,10.1.1.8,10.1.1.11,1951,1950,1,0.9995,2.054661,0.000113,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed3.csv,2.0
flow,3,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,9,10.1.1.9,10.1.1.11,1951,1950,1,0.9995,2.054653,0.000148,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed3.csv,2.0
flow,3,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,10,10.1.1.10,10.1.1.11,1950,1950,0,1.0,2.055708,0.00014,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed3.csv,2.0
flow,1,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,1,10.1.1.1,10.1.1.11,1953,1953,0,1.0,2.055696,0.000226,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed1.csv,2.0
flow,1,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,2,10.1.1.2,10.1.1.11,1952,1952,0,1.0,2.055651,0.000257,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed1.csv,2.0
flow,1,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,3,10.1.1.3,10.1.1.11,1952,1951,1,0.9995,2.054629,0.000276,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed1.csv,2.0
flow,1,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,4,10.1.1.4,10.1.1.11,1952,1952,0,1.0,2.055686,0.000286,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed1.csv,2.0
flow,1,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,5,10.1.1.5,10.1.1.11,1952,1951,1,0.9995,2.054552,0.000441,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed1.csv,2.0
flow,1,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,6,10.1.1.6,10.1.1.11,1951,1951,0,1.0,2.055673,0.000438,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed1.csv,2.0
flow,1,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,7,10.1.1.7,10.1.1.11,1951,1949,2,0.999,2.053599,0.000151,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed1.csv,2.0
flow,1,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,8,10.1.1.8,10.1.1.11,1951,1951,0,1.0,2.055708,0.000139,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed1.csv,2.0
flow,1,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,9,10.1.1.9,10.1.1.11,1951,1951,0,1.0,2.055702,0.000174,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed1.csv,2.0
flow,1,80211ax,10,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,10,10.1.1.10,10.1.1.11,1950,1948,2,0.999,2.053595,0.000167,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_30m_seed1.csv,2.0
