wifiStandard,nStations,distance,propagationModel,dataRate,txPackets_mean,txPackets_std,txPackets_var,txPackets_count,rxPackets_mean,rxPackets_std,rxPackets_var,rxPackets_count,lostPackets_mean,lostPackets_std,lostPackets_var,lostPackets_count,pdr_mean,pdr_std,pdr_var,pdr_count,lossRate_mean,lossRate_std,lossRate_var,lossRate_count,throughputMbps_mean,throughputMbps_std,throughputMbps_var,throughputMbps_count,throughputPerNodeMbps_mean,throughputPerNodeMbps_std,throughputPerNodeMbps_var,throughputPerNodeMbps_count,meanDelay_mean,meanDelay_std,meanDelay_var,meanDelay_count,offeredLoadMbps_mean,offeredLoadMbps_std,offeredLoadMbps_var,offeredLoadMbps_count,efficiency_mean,efficiency_std,efficiency_var,efficiency_count,jainFairness_mean,jainFairness_std,jainFairness_var,jainFairness_count,txPackets_ci95,rxPackets_ci95,lostPackets_ci95,pdr_ci95,lossRate_ci95,throughputMbps_ci95,throughputPerNodeMbps_ci95,meanDelay_ci95,offeredLoadMbps_ci95,efficiency_ci95,jainFairness_ci95
80211ax,10,5.0,logdistance,2Mbps,19515.0,0.0,0.0,3,19507.666666666668,1.1547005383795141,1.3333333333339397,3,7.333333333333333,1.1547005383792517,1.3333333333333335,3,0.9996333333333333,5.7735026918956215e-05,3.333333333332599e-09,3,0.0003666666666666263,5.7735026918956215e-05,3.333333333332599e-09,3,20.549059666666665,0.0012269035550244302,1.5052923333315849e-06,3,2.0549059666666665,0.0001226903555024785,1.505292333332456e-08,3,0.000251,0.0,0.0,3,20.0,0.0,0.0,3,1.0274529833333332,6.134517775123925e-05,3.76323083333114e-09,3,0.9999998467399892,4.667299904321892e-08,2.1783688396883145e-15,3,0.0,2.868666666667319,2.868666666666667,0.00014343333333331754,0.00014343333333331754,0.0030480433796744627,0.0003048043379675345,0.0,0.0,0.00015240216898376724,1.1595151482008972e-07
80211ax,10,10.0,friis,2Mbps,19515.0,0.0,0.0,3,19508.666666666668,1.5275252316524428,2.333333333334849,3,6.333333333333333,1.5275252316519468,2.333333333333334,3,0.9996666666666667,5.773502691895622e-05,3.3333333333325993e-09,3,0.0003333333333332966,5.773502691895622e-05,3.3333333333325993e-09,3,20.550251666666668,0.0016147973041018488,2.6075703333345984e-06,3,2.055025166666667,0.00016147973041020946,2.607570333335393e-08,3,0.000191,1.9999999999999944e-06,3.999999999999977e-12,3,20.0,0.0,0.0,3,1.0275125833333334,8.073986520510473e-05,6.518925833338482e-09,3,0.9999999083645251,4.442418328867116e-08,1.97350806086545e-15,3,0.0,3.7948892971715438,3.7948892971703114,0.00014343333333331757,0.00014343333333331757,0.004011702641277133,0.00040117026412777435,4.968676416645905e-06,0.0,0.00020058513206388717,1.1036469591758809e-07
80211ax,10,10.0,friis-nakagami,2Mbps,19515.0,0.0,0.0,3,19495.666666666668,9.29157324317809,86.33333333334303,3,19.333333333333332,9.29157324317757,86.33333333333334,3,0.999,0.00043588989435401935,1.8999999999995816e-07,3,0.0010000000000000009,0.00043588989435401935,1.8999999999995816e-07,3,20.540835666666666,0.004075308618171585,1.6608140333343593e-05,3,2.0540835666666664,0.00040753086181705145,1.6608140333334867e-07,3,0.002703333333333333,0.00020241129744491367,4.097033333333332e-08,3,20.0,0.0,0.0,3,1.0270417833333332,0.00020376543090852572,4.152035083333717e-08,3,0.9999988732319895,1.448214497238914e-06,2.0973252300129605e-12,3,0.0,23.083410423458613,23.083410423457316,0.0010828979191655488,0.0010828979191655488,0.010124444910831512,0.0010124444910828852,0.0005028581200386225,0.0,0.0005062222455414426,3.5978546093378597e-06
80211ax,10,10.0,logdistance,2Mbps,19515.0,0.0,0.0,3,11712.0,0.0,0.0,3,7803.0,0.0,0.0,3,0.6002,0.0,0.0,3,0.3998000000000001,0.0,0.0,3,12.334122333333333,2.138535324327843e-05,4.573333333397992e-10,3,1.2334122333333333,2.1385353243127874e-06,4.573333333333599e-12,3,0.000124,9.999999999999904e-07,9.999999999999808e-13,3,20.0,0.0,0.0,3,0.6167061166666666,1.0692676621563937e-06,1.1433333333333998e-12,3,0.5999999999101048,3.0916768574132257e-11,9.55846579066452e-22,3,0.0,0.0,0.0,0.0,0.0,5.312845016075992e-05,5.31284501603859e-06,2.484338208322936e-06,0.0,2.656422508019295e-06,7.680770944659531e-11
80211ax,10,20.0,friis,2Mbps,19515.0,0.0,0.0,3,19507.0,1.0,1.0,3,8.0,1.0,1.0,3,0.9995666666666668,5.773502691895622e-05,3.3333333333325993e-09,3,0.0004333333333332856,5.773502691895622e-05,3.3333333333325993e-09,3,20.54877433333333,0.0012873656564205583,1.657310333331135e-06,3,2.0548774333333335,0.00012873656564191624,1.657310333327541e-08,3,0.000218,1.0000000000000074e-06,1.0000000000000147e-12,3,20.0,0.0,0.0,3,1.0274387166666668,6.436828282095812e-05,4.143275833318852e-09,3,0.9999998143804422,4.9791676216711364e-08,2.47921102046982e-15,3,0.0,2.48433820832296,2.48433820832296,0.00014343333333331757,0.00014343333333331757,0.0031982516883283605,0.00031982516883248926,2.484338208322978e-06,0.0,0.00015991258441624463,1.2369936368162165e-07
80211ax,10,20.0,friis-nakagami,2Mbps,19515.0,0.0,0.0,3,19444.333333333332,2.081665999465623,4.333333333331211,3,70.66666666666667,2.081665999466131,4.333333333333325,3,0.9964,0.00010000000000007225,1.000000000001445e-08,3,0.0036000000000000107,0.00010000000000004444,1.0000000000008889e-08,3,20.509611666666668,0.020794250896180522,0.00043240087033330444,3,2.0509611666666667,0.0020794250896178693,4.324008703332285e-06,3,0.010109666666666668,0.00041633680276109746,1.7333633333333296e-07,3,20.0,0.0,0.0,3,1.0254805833333334,0.0010397125448089347,1.0810021758330712e-06,3,0.9999866961497403,1.6993763954570833e-05,2.8878801334367095e-10,3,0.0,5.171562379439249,5.171562379440511,0.00024843382083247545,0.0002484338208324064,0.051659952014835225,0.005165995201483068,0.0010343214266304143,0.0,0.002582997600741534,4.2218257095561794e-05
80211ax,10,20.0,logdistance,2Mbps,19515.0,0.0,0.0,3,5857.0,0.0,0.0,3,13658.0,0.0,0.0,3,0.3001,0.0,0.0,3,0.6999,0.0,0.0,3,6.167135333333333,5.773502695267216e-07,3.333333337225781e-13,3,0.6167135333333333,5.773502692062279e-08,3.333333333525038e-15,3,3.5e-05,0.0,0.0,3,20.0,0.0,0.0,3,0.30835676666666667,2.8867513460311394e-08,8.333333333812595e-16,3,0.29999999999622967,2.7321293589498495e-13,7.464530834035715e-26,3,0.0,0.0,0.0,0.0,0.0,1.4343333341707936e-06,1.4343333333745785e-07,0.0,0.0,7.171666666872892e-08,6.787533356520026e-13
80211ax,10,30.0,friis,2Mbps,19515.0,0.0,0.0,3,19508.666666666668,0.5773502691901509,0.33333333333393966,3,6.333333333333333,0.5773502691896258,0.3333333333333335,3,0.9996666666666667,5.773502691895622e-05,3.3333333333325993e-09,3,0.0003333333333332966,5.773502691895622e-05,3.3333333333325993e-09,3,20.55011633333333,0.000629128232823751,3.958023333359359e-07,3,2.0550116333333333,6.291282328210431e-05,3.958023333325287e-09,3,0.0002566666666666667,2.0816659994661433e-06,4.333333333333377e-12,3,20.0,0.0,0.0,3,1.0275058166666666,3.1456411641052155e-05,9.895058333313217e-10,3,0.9999998552361395,3.113901377433187e-08,9.696381788380298e-16,3,0.0,1.434333333334638,1.4343333333333335,0.00014343333333331757,0.00014343333333331757,0.0015629673067387474,0.00015629673067320203,5.171562379440542e-06,0.0,7.814836533660102e-05,7.735984168906761e-08
80211ax,10,30.0,friis-nakagami,2Mbps,19515.0,0.0,0.0,3,18306.333333333332,404.644700117688,163737.33333333363,3,1208.6666666666667,404.64470011768765,163737.33333333337,3,0.9380666666666667,0.020760619772379984,0.0004310033333333348,3,0.06193333333333336,0.020760619772379973,0.00043100333333333436,3,19.640795333333333,0.13156988871825293,0.017310635617333456,3,1.9640795333333336,0.013156988871825261,0.00017310635617333377,3,0.03664033333333333,0.0009255319191326316,8.566093333333322e-07,3,20.0,0.0,0.0,3,0.9820397666666668,0.0065784944359126305,4.327658904333344e-05,3,0.9899557473758508,0.003826190595375572,1.4639734472140472e-05,3,0.0,1005.2742892977583,1005.2742892977575,0.05157640092898871,0.05157640092898867,0.3268641016075557,0.032686410160755484,0.002299334309723672,0.0,0.016343205080377742,0.009505551488417507
80211ax,10,30.0,logdistance,2Mbps,19515.0,0.0,0.0,3,3905.0,0.0,0.0,3,15610.0,0.0,0.0,3,0.20010000000000003,0.0,0.0,3,0.7999,0.0,0.0,3,4.111424666666667,5.773502688216354e-07,3.333333329084146e-13,3,0.4111424666666667,5.773502688857341e-08,3.3333333298242945e-15,3,2.2333333333333335e-05,5.773502691896266e-07,3.333333333333343e-13,3,20.0,0.0,0.0,3,0.20557123333333335,2.8867513444286705e-08,8.333333324560736e-16,3,0.19999999999856835,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1.4343333324191208e-06,1.4343333325783638e-07,1.4343333333333355e-06,0.0,7.171666662891819e-08,0.0
